t_rel_s,t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,servo1_raw,servo2_raw,voltage_v,current_a,power_w,Fx,Fy,Fz,Tx,Ty,Tz,thrust_N,torque_Nm,rpm
0.0,1784823230.57638,A1500_B1000,1,1500,1000,1500,1000,11.43851,0.0,0.0,,,,,,,,,
0.02,1784823230.59638,A1500_B1000,1,1500,1000,1500,1000,11.44001,0.0,0.0,,,,,,,,,
0.04,1784823230.61638,A1500_B1000,1,1500,1000,1500,1000,11.441,0.0,0.0,,,,,,,,,
0.06,1784823230.63638,A1500_B1000,1,1500,1000,1500,1000,11.441,0.0,0.0,,,,,,,,,
0.08,1784823230.65638,A1500_B1000,1,1500,1000,1500,1000,11.441,0.0,0.0,,,,,,,,,
0.1,1784823230.67638,A1500_B1000,1,1500,1000,1500,1000,11.4087,1.6802,19.16887,,,,,,,,,
0.12,1784823230.69638,A1500_B1000,1,1500,1000,1500,1000,11.37636,3.36296,38.25825,,,,,,,,,
0.14,1784823230.71638,A1500_B1000,1,1500,1000,1500,1000,11.352,4.63,52.55976,,,,,,,,,
0.16,1784823230.73638,A1500_B1000,1,1500,1000,1500,1000,11.352,4.63,52.55976,,,,,,,,,
0.18,1784823230.75638,A1500_B1000,1,1500,1000,1500,1000,11.352,4.63,52.55976,,,,,,,,,
0.2,1784823230.77638,A1500_B1000,1,1500,1000,1500,1000,11.33968,5.01667,56.88743,,,,,,,,,
0.22,1784823230.79638,A1500_B1000,1,1500,1000,1500,1000,11.32621,5.43965,61.61063,,,,,,,,,
0.24,1784823230.81638,A1500_B1000,1,1500,1000,1500,1000,11.316,5.76,65.18016,,,,,,,,,
0.26,1784823230.83638,A1500_B1000,1,1500,1000,1500,1000,11.316,5.76,65.18016,,,,,,,,,
0.28,1784823230.85638,A1500_B1000,1,1500,1000,1500,1000,11.316,5.76,65.18016,,,,,,,,,
0.3,1784823230.87638,A1500_B1000,1,1500,1000,1500,1000,11.32025,5.2006,58.87209,,,,,,,,,
0.32,1784823230.89638,A1500_B1000,1,1500,1000,1500,1000,11.32463,4.62343,52.35864,,,,,,,,,
0.34,1784823230.91638,A1500_B1000,1,1500,1000,1500,1000,11.328,4.18,47.35104,,,,,,,,,
0.36,1784823230.93638,A1500_B1000,1,1500,1000,1500,1000,11.328,4.18,47.35104,,,,,,,,,
0.38,1784823230.95638,A1500_B1000,1,1500,1000,1500,1000,11.328,4.18,47.35104,,,,,,,,,
0.4,1784823230.97638,A1500_B1000,1,1500,1000,1500,1000,11.33502,4.09576,46.42553,,,,,,,,,
